text,label,label_name,generate_label
how do i locate my card,11,card_arrival,41
i still have not received my new card i ordered over a week ago,11,card_arrival,11
i ordered a card but it has not arrived help please,11,card_arrival,11
is there a way to know when my card will arrive,11,card_arrival,12
my card has not arrived yet,11,card_arrival,11
when will i get my card,11,card_arrival,11
do you know if there is a tracking number for the new card you sent me,11,card_arrival,11
i have not received my card,11,card_arrival,11
still waiting on that card,11,card_arrival,11
is it normal to have to wait over a week for my new card,11,card_arrival,12
how do i track my card,11,card_arrival,11
how long does a card delivery take,11,card_arrival,12
i still dont have my card after weeks what should i do,11,card_arrival,11
still waiting on my new card,11,card_arrival,11
i am still waiting for my card after week is this ok,11,card_arrival,11
i have been waiting longer than expected for my bank card could you provide information on when it will arrive,11,card_arrival,12
ive been waiting longer than expected for my card,11,card_arrival,12
why hasnt my card been delivered,11,card_arrival,11
where is my new card i have been waiting a week,11,card_arrival,11
my card still hasnt arrived after weeks is it lost,11,card_arrival,11
i did not get my card yet is it lost,11,card_arrival,11
status of the card i ordered,11,card_arrival,12
how long should my new card take to arrive,11,card_arrival,12
i ordered my card weeks ago and it still isnt here what do i do,11,card_arrival,11
my card has not arrived yet where is it,11,card_arrival,11
what is the tracking number for my card that was mailed,11,card_arrival,12
i think something went wrong with my card delivery as i havent received it yet,11,card_arrival,11
im still waiting for delivery of my new card why is it taking so long,11,card_arrival,12
i ordered a card a week ago and its still not here what do i do,11,card_arrival,11
i want to track the card you sent,11,card_arrival,11
my card hasnt arrived yet,11,card_arrival,11
i was expecting my new card and am wondering why i havent received it yet,11,card_arrival,11
how do i know when my card will arrive,11,card_arrival,12
im still waiting on my card to be delivered,11,card_arrival,11
does the card you sent have a way to track to it,11,card_arrival,12
i ordered a card and i still havent received it its been two weeks what can i do,11,card_arrival,11
im starting to think my card is lost because it still hasnt arrived can you help,11,card_arrival,11
is there tracking info available,11,card_arrival,12
what is the tracking number for the card you sent,11,card_arrival,12
where is the tracking number for the card you sent me,11,card_arrival,12
why wont my card show up on the app,13,card_linking,14
i would like to reactivate my card,13,card_linking,0
where do i link the new card,13,card_linking,13
i have received my card can you help me put it in the app,13,card_linking,0
how do i link a card that i already have,13,card_linking,13
i received my new card but i dont see it in the app anywhere what do i do,13,card_linking,0
how do i readd a card to the app,13,card_linking,13
how do i add the card to my account,13,card_linking,13
can i put my old card back into the system i just found it,13,card_linking,41
i have one of your cards already how do i link it,13,card_linking,13
how do i link a new card,13,card_linking,13
can i link an existing card,13,card_linking,13
how do i link one your card if i have one already,13,card_linking,13
how do i add a card to the app,13,card_linking,13
can i link my new card,13,card_linking,13
hello i found the card i misplaced and i need to reactive it how do i do that,13,card_linking,0
can you tell me how to link one of your cards that i already have,13,card_linking,13
how do i view the card i received in the app,13,card_linking,11
where on the website do i go to link my card,13,card_linking,13
i found my card can i add it to the app,13,card_linking,13
how do i link to my credit card with you,13,card_linking,13
ive received my card so now i need to know how to sync it to the app,13,card_linking,0
i found my card i would like to reactivate it,13,card_linking,0
how do i link this new card,13,card_linking,13
can i reactivate my lost card that i found this morning in my jacket pocket,13,card_linking,41
how do i link an already existing card,13,card_linking,13
the app doesnt show the card i received,13,card_linking,11
how do i link a card i already have,13,card_linking,13
i would like to link my card how do i do it,13,card_linking,13
can you please show me where i can find the location to link my card,13,card_linking,13
where do i go if i want to link my new card,13,card_linking,13
is there a way to make my old card usable with the app,13,card_linking,13
can i reactivate a card i thought i lost,13,card_linking,41
how do i link my card,13,card_linking,13
where do i need to go in the app to enter my card info,13,card_linking,13
i have found my lost or stolen card is there a way i can link the card with my account through my app again,13,card_linking,41
could you help me reactivate my card it was previously lost but i found it this morning in my jacket,13,card_linking,41
